CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES
C10001,40.900749,0.818182,95.4
C10002,3202.467416,0.909091,0
C10003,2495.148862,1,773.17
C10004,1666.670542,0.636364,1499
C10005,817.714335,1,16
C10006,1809.828751,1,1333.28
C10007,627.260806,1,7091.01
C10008,1823.652743,1,436.2
C10009,1014.926473,1,861.49
C10010,152.225975,0.545455,1281.6
C10011,1293.124939,1,920.12
C10012,630.794744,0.818182,1492.18
C10013,1516.92862,1,3217.99
C10014,921.693369,1,2137.93
C10015,2772.772734,1,0
C10016,6886.213231,1,1611.7
C10017,2072.074354,0.875,0
C10018,41.089489,0.454545,519
C10019,1989.072228,1,504.35
C10020,3577.970933,1,398.64
C10021,2016.684686,1,176.68
C10022,6369.531318,1,6359.95
C10023,132.34224,0.636364,815.9
C10024,3800.151377,0.818182,4248.35
C10025,5368.571219,1,0
C10026,169.781679,1,399.6
C10027,1615.96724,1,102
C10028,125.694817,1,233.28
C10029,7152.864372,1,387.05
C10030,22.06349,1,100
C10031,12136.21996,1,3038.01
C10032,1162.273324,1,1347.71
C10033,6732.823064,1,324.95
C10034,125.660453,1,636.79
C10035,3517.101616,0.727273,547.28
C10036,1656.350781,1,0
C10037,7427.076941,1,0
C10038,4047.480828,1,2380.55
C10039,6269.418144,1,204
C10040,1411.60223,0.454545,963.24
C10041,663.44781,0.727273,0
C10043,784.889762,0.909091,1526.59
C10044,4104.710798,1,203.82
C10045,1360.742377,1,0
C10046,5315.945594,1,1525.44
C10047,2242.311686,1,437
C10048,474.447149,0.5,109.74
C10049,3910.111237,1,0
C10050,229.867179,1,2390.6
C10051,863.809833,1,507.5
C10052,4931.331857,1,901.42
C10053,1078.888565,1,3107.85
C10054,1565.681099,1,0
C10055,464.674156,0.888889,1979.22
C10056,6.660517,0.636364,310
C10057,1311.995984,1,1283.9
C10058,3625.218146,1,313.27
C10059,2386.330629,1,5217.62
C10060,3971.138765,1,0
C10061,5493.90406,1,229
C10062,1879.114033,0.727273,113
C10063,1555.793701,1,66.2
C10064,809.582978,0.909091,0
C10065,7.152356,0.090909,840
C10067,1923.886805,1,1887.64
C10068,1758.059987,1,412.33
C10069,809.847455,0.875,0
C10070,1576.305029,1,0
C10071,3990.523579,1,263.5
C10072,1699.435486,1,1363.69
C10073,5487.683724,1,419.1
C10074,2990.422186,0.909091,4523.27
C10075,656.01301,1,0
C10077,1808.972419,1,713.9
C10078,532.334517,0.909091,791.94
C10079,5860.433624,1,561.87
C10080,1727.638449,1,606.11
C10081,578.809679,1,320
C10082,1205.716678,1,0
C10083,6593.820644,1,388.66
C10084,17.357563,0.909091,244.85
C10085,81.584711,0.272727,0
C10086,3.78631,0.636364,133.05
C10087,42.46443,0.545455,396
C10088,1935.362486,1,4915.6
C10089,134.917202,1,1247.8
C10090,7069.950386,1,1603.78
C10092,8181.251131,1,2258.01
C10093,4037.305658,1,45
C10094,6110.265264,1,0
C10095,9381.255094,1,5100.07
C10096,1977.00709,1,1032.04
C10097,1321.47608,1,45.65
C10098,1307.717841,1,405.6
C10099,2329.485768,1,213.34
C10100,1139.782882,1,0
C10101,1619.955708,1,739.44
C10102,3505.671311,1,0
C10103,4.708041,0.363636,79
C10104,0,0,0
C10105,4.875885,0.666667,20
C10106,23.394411,0.272727,1346.28
C10107,3539.801912,1,2823.8
C10108,0.62424,0.090909,389.96
C10109,862.07238,1,0
C10110,2441.542991,1,808
C10111,408.656365,1,941.64
C10112,4986.400804,1,0
C10113,1246.624558,1,423.7
C10114,6644.201651,1,4478.75
C10115,156.216753,0.818182,1354.86
C10116,3393.351236,1,0
C10117,5322.994094,1,2812.2
C10118,6458.56209,1,0
C10119,175.341651,0.818182,1508.9
C10120,680.195157,1,1045.57
C10121,223.763616,0.636364,2309.78
C10122,1785.626943,1,0
C10123,54.933231,0.272727,495
C10124,2662.629852,1,0
C10125,8504.876253,1,6724.26
C10126,1464.324632,1,1174.39
C10127,2114.158683,1,5580.85
C10128,2876.396444,1,0
C10130,14224.11541,1,0
C10131,2392.917738,1,12462.44
C10132,57.453201,0.75,0
C10133,4245.855092,1,1957.3
C10134,11167.23403,1,150.64
C10135,69.405545,0.090909,0
C10136,116.654149,0.272727,907
C10137,4637.848144,1,1271.12
C10138,24.28497,0.636364,250.6
C10139,9354.06045,1,796.33
C10140,231.108995,1,440
C10141,1562.633343,1,1330.62
C10142,2494.868559,1,5491.79
C10143,706.132889,1,897.86
C10144,19043.13856,1,22009.92
C10145,2235.103331,1,720.6
C10146,947.13081,1,197.06
C10147,764.042156,0.818182,0
C10148,5347.814547,1,0
C10149,10598.46777,1,2084.48
C10150,2163.678757,1,5779.36
C10151,3057.400553,1,1025
C10152,19.354559,0.909091,689.7
C10153,264.811595,1,28.65
C10154,1108.22253,0.909091,944.96
C10155,906.573724,1,1039.2
C10156,7679.62904,1,4059.93
C10157,1523.911458,1,4075.37
C10158,49.206256,1,870.24
C10159,13673.07961,1,9792.23
C10160,106.455975,0.636364,2463.12
C10161,119.760904,0.363636,1859.34
C10162,5837.105453,1,3488.49
C10163,1734.510004,1,0
C10164,2765.748281,1,7283.31
C10165,1046.37041,1,295
C10166,2737.367678,1,0
C10167,4014.818167,1,0
C10168,871.568977,1,648.22
C10169,1610.040203,1,557.19
C10170,114.593817,1,469.98
C10171,5800.587339,1,0
C10172,823.103926,0.363636,131.64
C10173,595.677343,1,5078.14
C10174,1128.124563,1,924.6
C10175,349.441102,1,1975.4
C10176,840.804076,0.666667,0
C10177,975.942008,1,10221.35
C10178,23.111088,0.363636,300
C10179,2187.732265,0.857143,0
C10180,11972.01104,1,5715
C10181,1608.451822,1,0
C10182,1872.926275,1,766.61
C10183,2933.240476,1,0
C10184,336.799916,1,3535.8
C10185,36.236312,0.454545,256.11
C10186,903.29781,1,2697.48
C10187,0,0,23
C10188,2881.253586,1,117
C10189,5.465999,0.090909,196.81
C10190,117.442684,1,653.73
C10191,168.522709,0.818182,2009.05
C10192,1706.014379,1,147.78
C10193,874.583247,1,516.54
C10194,861.001207,1,969.56
C10196,966.251742,1,311.45
C10197,38.615644,0.727273,280.4
C10198,189.687964,1,66.14
C10199,40.417255,0.363636,79.2
C10200,5462.897068,1,1453.32
C10201,3983.923705,1,756.54
C10202,5588.846272,1,3507.35
C10203,281.170378,0.818182,3163.69
C10204,130.251538,0.909091,1343.19
C10205,1973.814964,1,873
C10206,5698.539876,1,47.55
C10207,43.103899,0.454545,370
C10208,566.546048,0.909091,405.75
C10209,24.527253,0.909091,261.64
C10211,8350.145568,1,1989.28
C10212,4559.779234,1,10848.5
C10213,2.67713,0.090909,43.39
C10214,1570.682346,1,645.32
